Data,Nominalny,Prawdziwy
01.2014,190.34181409356847,152.13744680126376
02.2014,195.01076286590364,155.6270608559892
03.2014,196.3674066307646,156.61695752451593
04.2014,197.26790643950437,157.81721196402663
05.2014,205.09717428811436,164.2536308999942
06.2014,208.22015572322525,166.62368444388957
07.2014,209.97193497198793,167.7433200199709
08.2014,217.6688350371856,174.52619198110656
09.2014,220.76061976984386,177.1445593224496
10.2014,223.2703852692899,178.92838522314275
11.2014,227.70302385544252,182.7127881180157
12.2014,229.59035248311082,184.42801612708735
01.2015,242.85682689210134,195.32466880324426
02.2015,257.70027218381205,206.46090734695218
03.2015,265.0633682542441,212.2364203038084
04.2015,261.66669772502263,208.71277805275048
05.2015,267.2761859125924,212.85544578540606
06.2015,255.8369138351749,203.4287903661563
07.2015,263.1547661827872,209.24758261484644
08.2015,239.7956754860658,190.52858668873262
09.2015,231.3059483937341,183.6511668084746
10.2015,253.5443653410882,200.6724452801249
11.2015,261.83952181625267,207.0203249900619
12.2015,249.94015969143234,197.87709702722574
01.2016,234.04776715302052,185.08063303965739
02.2016,233.01073097651204,184.15125372136242
03.2016,239.48840583794134,187.60394890373018
04.2016,242.5968225097298,189.70971026967715
05.2016,248.29457141803292,193.5560396528984
06.2016,247.85869782122208,193.00970798352833
07.2016,258.25836687442273,200.88356842288707
08.2016,258.5585765346054,201.21430704624876
09.2016,259.3784357318266,202.28103021566324
10.2016,260.0922114972203,202.2487420023879
11.2016,269.6921137309102,209.57666593039005
12.2016,278.1757166818169,215.90577445480898
01.2017,279.9441169985338,215.73523862469057
02.2017,292.15893900679606,224.3415950779928
03.2017,293.0596015247954,224.51879399598607
04.2017,291.0598238148121,222.6015049380414
05.2017,289.6429681398544,221.7085367069943
06.2017,285.89917920212287,219.18067789547678
07.2017,285.7679778522588,218.43200175515705
08.2017,284.4722596745256,217.29618217046578
09.2017,290.3883937535869,222.0424313991218
10.2017,300.69930752588004,229.29282015425818
11.2017,301.0697650739378,229.2707712344615
12.2017,302.45305766631526,229.88974613607576
01.2018,307.44112450654114,233.00718772463352
02.2018,300.438153344136,227.34818147717252
03.2018,291.31248178642755,220.12153161191515
04.2018,299.95280108898385,225.98812315278016
05.2018,309.7463253434223,232.9006860038826
06.2018,308.89503827926353,232.02096442688432
07.2018,316.0645905641602,236.5173588108501
08.2018,320.55145979787846,239.54473217756654
09.2018,324.0918311059224,242.19041439448503
10.2018,306.6165574204273,227.48790741809606
11.2018,309.9181695074817,229.58041330649385
12.2018,285.8442070747999,212.2972111368032
01.2019,307.0153798909117,228.1191803476759
02.2019,316.9892901436948,234.79190177439824
03.2019,326.11040225505667,240.8338680753373
04.2019,337.54649632706855,249.14671861130006
05.2019,319.4799489568621,235.765851883682
06.2019,333.2278218640811,246.04119945453218
07.2019,340.9169931790849,251.51515946629843
08.2019,336.30751748786884,248.16063596695474
09.2019,348.23714679504366,258.1024637711562
10.2019,349.3856806975394,258.02546622335245
11.2019,363.348886576771,268.171495991796
12.2019,367.8229164694718,271.12881979270645
01.2020,369.52618355072366,270.7680981549026
02.2020,341.8832880783986,250.46356233604342
03.2020,296.1507958639344,217.37088936669062
04.2020,329.9889907377257,242.207690810435
05.2020,336.45841631319314,247.13307320822778
06.2020,345.0567675503506,253.29061699291321
07.2020,342.8716069825077,251.1315329962596
08.2020,361.2576058861836,264.4379413954149
09.2020,356.4987605360226,261.94165912761576
10.2020,347.87333049045037,255.07736265440587
11.2020,381.64044567494204,280.25579623071
12.2020,389.80702413561585,286.1760727452521
01.2021,392.29783385942835,286.7501108560419
02.2021,401.8715886845359,293.1222398896713
03.2021,426.9353941651872,310.6056979094596
04.2021,432.10692692776774,313.3281684660475
05.2021,434.6591575442764,314.69844349350427
06.2021,451.561030433682,326.2271410400398
07.2021,454.07421816942195,325.258267733531
08.2021,467.51939737536657,333.20857305963074
09.2021,458.2826328898031,327.4522764228997
10.2021,478.34335083104855,336.98556819694744
11.2021,477.7469319920307,332.3457035602332
12.2021,498.9480125769523,346.7781180171673
01.2022,482.1234065470653,327.35455508203415
02.2022,467.9557704496549,315.6599266700434
03.2022,482.1249489903178,323.57410911462665
04.2022,467.56987784659333,312.7242214827468
05.2022,460.46467431353864,305.57630086029195
06.2022,434.948010133806,286.0418089527604
07.2022,473.18340502782445,308.8198876880001
08.2022,465.0518652220863,301.0031836969773
09.2022,431.32383584622306,276.2853400669164
10.2022,449.1952143052442,281.18092713129255
11.2022,462.64011452481316,290.232984499744
12.2022,433.10784034279635,272.15995887268525
01.2023,456.5011321997916,286.6043236548652
02.2023,452.2190196007165,285.91118203897025
03.2023,454.80957402348486,285.9274832852398
04.2023,457.077038701274,289.25662704068327
05.2023,464.69626665702947,292.98357407221545
06.2023,482.69740875195015,304.7702955682032
07.2023,493.12726072648525,308.8859792961686
08.2023,486.4057098542646,302.31339715622795
09.2023,478.74550985274885,299.63617963897383
10.2023,463.15040591710874,288.84739861231986
11.2023,491.12938484567496,305.80283783653414
12.2023,508.92902199886555,315.55717357998185
01.2024,521.8584787470295,322.0382388901697
02.2024,544.2416698927599,333.54848403756216
03.2024,561.5891027636599,342.3470726282442
04.2024,548.0689246688795,335.74239353971035
05.2024,562.8624243311654,343.5755036993231
06.2024,582.6162153548692,354.87613359158877
